,District,Neighborhood,PostalCode,Latitude,Longitude
37,NORTH WEST DELHI,"Hareveli, Bawana, Nangal Thakran, Auchandi, Barwala, Katewara, Jat Khore, Ghoga",110039,28.79788746363636,77.04211036363638
38,NORTH WEST DELHI,"Bankner, Narela Town, Lampur, Narela, Bhorgarh, Kanya Gurukul",110040,28.8441925,77.0895541
39,WEST DELHI,"Mundka, Nangloi, Nangloi - iii",110041,28.6768275,77.065017
40,NORTH WEST DELHI,"Delhi Engg. college, Pehlad Pur, Badli",110042,28.745474800000004,77.1288718927171
41,SOUTH WEST DELHI,"Kair, Khaira",110043,28.5829277,76.96941078402354
42,SOUTH DELHI,"Molarband, Btps, Tugalkabad Railway colony, Pul Pahladpur, Badarpur, Jaitpur",110044,28.51022,77.238025
43,SOUTH WEST DELHI,Indira Park,110045,28.592204052961737,77.08312530619347
44,SOUTH WEST DELHI,"Arjungarh, Jaunapur, Aya Nagar",110047,28.456571899999997,77.14501120000001
45,SOUTH DELHI,"Kailash Colony, Greater Kailash, Masjid Moth, Greater Kailash part ii",110048,28.54304525086609,77.2403435100137
46,SOUTH DELHI,"Gulmohar Park, New Delhi south ext-ii, Sadiq Nagar, Sahpurjat, Gautam Nagar, Andrewsganj",110049,28.5599539,77.2144853
47,EAST DELHI,"Krishna Nagar, Azad Nagar, Ram Nagar, Govind Pura",110051,28.651834,77.283928
48,NORTH WEST DELHI,"Nimri, Ashok Vihar",110052,28.7058039,77.1745717
49,EAST DELHI,"Jagjit Nagar, Maujpur, Yamuna Vihar, Bhajan Pura, Jafrabad, Brahampuri, Seelampur, Ghonda, New Usmanpur",110053,28.691913399999997,77.2798204134402
50,NORTH DELHI,"Patrachar Vidyalay, Timarpur, Civil Lines, Distt Courts",110054,28.6793402,77.223528
51,CENTRAL DELHI,"Swami Ram tirth nagar, A.K.market, Pahar Ganj, Multani Dhanda",110055,28.6525064,77.2133906
52,WEST DELHI,"Janakpuri, Jail Road, A-3 Janak puri, B-1 Janak puri, D.E.s.u. colony",110058,28.6187982,77.08638603122063
53,WEST DELHI,"Jeevan Park, D. k. mohan garden, Matiala",110059,28.6189998,77.03958730000001
54,CENTRAL DELHI,Rajender Nagar,110060,28.638718271175648,77.18514755424575
55,SOUTH WEST DELHI,Bijwasan,110061,28.537815000000002,77.051119
56,SOUTH DELHI,"Deoli, Dakshinpuri Phase-i, Khanpur, Bsf Camp tigri, Dakshinpuri Phase-iii, Dakshinpuri Phase-ii, Dr. ambedkar nagar, Pushpa Bhawan, Talimabad, Hamdard Nagar, Air Force station tugalkabad",110062,28.497844,77.223865
57,WEST DELHI,"Madipur Slum quarter, Paschim Vihar b block, Madipur Village, Jawala Heri, Paschim Vihar",110063,28.664873800000002,77.11519229999999
58,WEST DELHI,"Hari Nagar, Hari Nagar be block, Hari Nagar dadb block",110064,28.625727700588754,77.11444678812948
59,SOUTH DELHI,"East Of kailash, Sriniwaspuri, Sant Nagar, East Of kailash phase-i, Nehru Nagar",110065,28.565626,77.254242
60,SOUTH WEST DELHI,"J.N.u., Jnu New campus",110067,28.554073,77.168826
61,SOUTH WEST DELHI,Ignou,110068,28.512989899999997,77.2045447
62,CENTRAL DELHI,Union Public service commissio,110069,28.480862899999995,77.08488829999999
63,SOUTH WEST DELHI,"Badusarai, Chhawla",110071,28.5532156,77.00217752174109
64,SOUTH WEST DELHI,Crpf Jharoda kalan,110072,28.6510956,76.94659377825711
65,SOUTH WEST DELHI,"Issapur, Dhansa",110073,28.5647393,76.88946450440811
66,SOUTH WEST DELHI,"Dera, Fatehpur Beri, Chandanhoola, Chattarpur, C.S.k.m. school",110074,28.430613,77.22557859999999
67,SOUTH WEST DELHI,"Amberhai, Dwarka Sec-6",110075,28.593945863135733,77.05938523635649
68,SOUTH DELHI,"Sarita Vihar, Madanpur Khadar",110076,28.53981681288952,77.24037734427203
69,SOUTH WEST DELHI,"Barthal, Dhulsiras, Bagrola",110077,28.581872291456694,77.07343613065589
70,SOUTH WEST DELHI,Kakrola,110078,28.60285897664956,77.0403736868687
71,NORTH WEST DELHI,"Chand Pur, Majra Dabas, Nizampur, Karala, Lad Pur, Mubarak Pur dabas, Jaunti, Kanjhawla, Gheora",110081,28.71872626143372,77.00675926009234
72,NORTH WEST DELHI,"Naya Bans, Khera Kalan, Khera Khurd, Holambi Kalan",110082,28.7916098,77.10231455
73,NORTH WEST DELHI,"Mangolpuri N block, Mangolpuri S block, Mangolpuri I block, Mangolpuri A block",110083,28.692758,77.088037
74,NORTH DELHI,"Jharoda Majraa, Jagatpur, Burari",110084,28.75517,77.199389
75,NORTH WEST DELHI,"Pooth Kalan, Pooth Kalan resettlement, Budh Vihar, Begumpur",110086,28.70394597333333,77.06354678
76,WEST DELHI,"Jwala Puri, Sunder Vihar",110087,28.678482300000002,77.07686729999999
77,NORTH WEST DELHI,Haiderpur,110088,28.723461999999998,77.151625
78,EAST DELHI,"Himmatpuri, Trilok Puri, Patparganj, Kalyanpuri, Chilla, Kalyanvas, Mayur Vihar ph-i",110091,28.6138592,77.2898062
79,EAST DELHI,"Yozna Vihar, Anand Vihar, Mandawali Fazalpur, Laxmi Nagar, Surajmal Vihar, Nirman Vihar, Shakarpur",110092,28.63084445,77.30595223110447
80,EAST DELHI,"Nand Nagri ""c"", Nand Nagri ""a"", Mandoli Saboli, Loni Road housing complex",110093,28.694693,77.306727
81,EAST DELHI,"Sonia Vihar, Sabhapur, Johripur, Karawal Nagar, Gokal Puri, Khazuri Khas, Dayalpur",110094,28.703905,77.282492
82,EAST DELHI,"Dilshad Garden, Jhilmil, G.T.b. hospital, Jhilmil Tahirpur, New Seemapuri, V.K. nagar, Vivek Vihar, Old Seemapuri",110095,28.6680886,77.3134614906964
83,EAST DELHI,"Vasundhra Enclave, Ghazipur, Mayur Vihar ph-iii",110096,28.60809505,77.33036155940195
