,PostalCode,Latitude,Longitude
0,110002,28.6409635,77.2454679
1,110055,28.6525064,77.2133906
2,110005,28.65052871143666,77.1890180623797
3,110001,28.6517178,77.2219388
4,110008,28.6561753,77.1624604
5,110003,28.59873072584199,77.22299552077939
6,110011,28.6517178,77.2219388
7,110006,28.655984349999997,77.2316234092723
8,110012,28.6517178,77.2219388
9,110060,28.638718271175655,77.18514755424573
10,110004,28.616082160986107,77.20450056582615
11,110069,28.4808629,77.0848883
12,110025,28.5390474,77.28850559898574
13,110062,28.497844,77.223865
14,110019,28.54287159179043,77.25500052973075
15,110024,28.572314,77.231729
16,110049,28.5599539,77.2144853
17,110044,28.51022,77.238025
18,110020,28.4808629,77.0848883
19,110017,28.5364391,77.213769
20,110013,28.5873743,77.25413445000001
21,110065,28.565626,77.254242
22,110048,28.54304525086609,77.2403435100137
23,110014,28.581379451209695,77.25440131637974
24,110076,28.539816812889516,77.24037734427203
25,110058,28.6187982,77.08638603122063
26,110018,28.6512679,77.1021935
27,110026,28.65823252666667,77.13787735999999
28,110015,28.6661772,77.1391256
29,110059,28.6189998,77.0395873
30,110064,28.625727700588754,77.11444678812948
31,110027,28.644448849955097,77.11629584407106
32,110063,28.6648738,77.1151923
33,110087,28.6784823,77.0768673
34,110041,28.6768275,77.065017
35,110007,28.6815955,77.198412
36,110084,28.75517,77.199389
37,110054,28.6793402,77.223528
38,110092,28.630844449999998,77.30595223110447
39,110051,28.651834,77.283928
40,110032,28.67771,77.276735
41,110053,28.6919134,77.2798204134402
42,110091,28.6138592,77.2898062
43,110094,28.703905,77.282492
44,110095,28.6680886,77.31346149069641
45,110031,28.6495158,77.2734895
46,110096,28.60809505,77.33036155940195
47,110093,28.694693,77.306727
48,110010,28.6517178,77.2219388
49,110038,28.5131037,77.106859
50,110075,28.593945863135737,77.0593852363565
51,110021,28.5792862,77.17164751605836
52,110029,28.570292660466905,77.20357248743362
53,110047,28.4565719,77.1450112
54,110028,28.635894,77.145662
55,110071,28.5532156,77.00217752174109
56,110077,28.581872291456698,77.07343613065589
57,110061,28.537815,77.051119
58,110074,28.430613,77.2255786
59,110072,28.651095599999998,76.94659377825711
60,110073,28.5647393,76.88946450440811
61,110030,28.5047,77.1721
62,110016,28.548761,77.181531
63,110037,28.542776,77.119918
64,110068,28.5129899,77.2045447
65,110045,28.592204052961737,77.08312530619347
66,110067,28.554073,77.168826
67,110043,28.5829277,76.96941078402354
68,110078,28.602858976649557,77.0403736868687
69,110023,28.575522170688856,77.19669884264502
70,110033,28.727506,77.168477
71,110036,28.793428,77.142229
72,110034,28.7059824,77.1396767
73,110052,28.7058039,77.1745717
74,110039,28.79788746363636,77.04211036363637
75,110042,28.7454748,77.12887189271709
76,110040,28.8441925,77.0895541
77,110086,28.70394597333333,77.06354678
78,110081,28.71872626143372,77.00675926009235
79,110009,28.707809540273853,77.20705596296021
80,110035,28.679964,77.157961
81,110088,28.723462,77.151625
82,110082,28.7916098,77.10231455
83,110083,28.692758,77.088037
